"Site","Array","Lat","Lon","Depth","Type","Cluster","Method","Notes","LatDD","LonDD","Distance.to.Port","Distance.to.Shore","n","Rare","Acer","Mean.Length","Skew","Kurt","CV","H","J","Sp.rich","Rugosity","Sed.max","Sed.mean","Relief.max","Relief.mean"
"Experimental 4","XC4","26 08.843","80 05.498",4,"Fragment","Y","Cement","",26.14738333,-80.09163333,6748,992,67,5,1,8.52238805970149,1.67377272994728,3.80151515151515,14.7062354056945,1.30005035288864,0.668093721346684,7,0.931,1,0.25,19,8.4
"Experimental 4","XC5","26 08.833","80 05.500",4.9,"Fragment","Y","Cement","",26.14721667,-80.09166667,6748,992,46,2,0,7.95652173913043,3.27477098306239,12.6647487678769,13.3124100461095,1.11252760285748,0.691252265317213,5,0.9375,1,0.25,20,7.65
"Experimental 5","G17","26 00.003","80 06.446",6.1,"Fragment","Y","Cement","",26.00005,-80.10743333,9750,846,77,23,17,15.6883116883117,0.80674365405675,2.14587767850045,27.6370709782494,1.45687117350167,0.700606939074982,8,0.946,4,1,40,15.25
"Experimental 5","G19","25 59.945","80 06.487",4.9,"Microfrag","Y","Cement","",25.99908333,-80.10811667,9750,846,28,11,3,17.8392857142857,1.32921411093327,3.41631033864059,33.0155722569263,1.64132735249639,0.916042237077461,6,0.935,2,0.3,23,13.65
"Experimental 5","G20","25 59.990","80 06.439",6.7,"Fragment","Y","Cement","",25.99983333,-80.10731667,9750,846,42,12,5,13.8571428571429,1.7172661722151,5.25260660956131,27.906573165148,1.27153919363719,0.653441883868323,7,0.955,16,2.15,30,16.3
"Experimental 5","G21","25 59.964","80 06.438",6.7,"Fragment","Y","Cement","",25.9994,-80.1073,9750,846,44,5,0,10.0681818181818,1.67865032167285,4.41692121110873,21.0430144669635,1.41826404348863,0.64547978304887,9,0.913,4,0.65,42,22.6
"Experimental 5","G26","25 59.989","80 06.467",5.2,"Fragment","Y","Cement","",25.99981667,-80.10778333,9750,846,61,13,0,10.4426229508197,0.990931282531007,2.4278259697927,19.593133787951,1.4783128839739,0.759702540578034,7,0.948,1,0.1,25,12.15
"Experimental 5","G27","26 00.020","80 06.443",6.4,"Fragment","Y","Cement","",26.00033333,-80.10738333,9750,846,74,14,8,10.3175675675676,2.19345866531372,7.83788164895472,21.8765015614412,1.22125157025886,0.587297861363437,8,0.9675,7,1.45,25,14.2
"Experimental 5","G29","25 59.971","80 06.441",7,"Fragment","Y","Cement","",25.99951667,-80.10735,9750,846,31,15,6,15.5322580645161,0.594644920202348,2.21738396466387,24.6648905616174,1.66122499907264,0.853700773326619,7,0.955,13,2.65,38,22.55
"Experimental 5","G33","25 59.952","80 06.456",5.2,"Fragment","Y","Cement","",25.9992,-80.1076,9750,846,34,3,0,12.0147058823529,1.04836500753187,3.04178468910462,22.8368229383034,1.01544778081819,0.630933180443375,5,0.934,4,0.55,56,27.05
"Experimental 5","G38","25 59.970","80 06.477",4.9,"Microfrag","Y","Cement","",25.9995,-80.10795,9750,846,70,9,1,10.3428571428571,0.872345966701261,2.17481561978917,18.8029728666954,1.44315602427707,0.741635488656904,7,0.85,3,0.35,26,13.4
"Experimental 5","S1","25 59.963","80 06.458",5.5,"Fragment","Y","Cement","",25.99938333,-80.10763333,9750,846,35,4,0,11.2142857142857,2.30723103376619,8.27265569382863,24.4497704819558,1.16370569103043,0.649476512342247,6,0.9545,5,0.6,44,26.15
